,file,psnr_raw,psnr_model_1,psnr_model_2,ssim_raw,ssim_model_1,ssim_model_2
0,data/vh/reconstructions/Testing/GT/00000_test_gt_stack0000_0018_recon.tif,23.150630369238012,27.26389007832671,,0.7657646627043465,0.834804390655455,
1,data/vh/reconstructions/Testing/GT/00000_test_gt_stack0018_0036_recon.tif,27.749086531545824,30.267162369020472,,0.7662754577617292,0.8512229375866861,
2,data/vh/reconstructions/Testing/GT/00001_test_gt_stack0000_0018_recon.tif,24.253029119607355,25.638740044207317,,0.7726851538513178,0.8232144505009323,
3,data/vh/reconstructions/Testing/GT/00001_test_gt_stack0018_0036_recon.tif,34.202731683068414,32.71666717245074,,0.8914916317010698,0.8699765360873731,
4,data/vh/reconstructions/Testing/GT/00002_test_gt_stack0000_0018_recon.tif,29.568601836875693,33.947090388684146,,0.8572132562147178,0.8583014023938861,
5,data/vh/reconstructions/Testing/GT/00002_test_gt_stack0018_0036_recon.tif,29.572635762591453,29.112624668685797,,0.8576240095360883,0.8151388856741687,
6,data/vh/reconstructions/Testing/GT/00003_test_gt_stack0000_0018_recon.tif,22.94690645220623,24.88963951026363,,0.7000734499393241,0.8125061164001838,
7,data/vh/reconstructions/Testing/GT/00003_test_gt_stack0018_0036_recon.tif,28.563653109507673,29.6948992648376,,0.8069402671473861,0.8463994345981147,
8,data/vh/reconstructions/Testing/GT/00004_test_gt_stack0000_0018_recon.tif,23.955502884550594,25.2366049262232,,0.7670300258000107,0.8006633880828326,
9,data/vh/reconstructions/Testing/GT/00004_test_gt_stack0018_0036_recon.tif,18.911664436804877,20.900653380323476,,0.6361614223637735,0.7718013325488728,
10,data/vh/reconstructions/Testing/GT/00005_test_gt_stack0000_0018_recon.tif,29.00630739246473,28.8164798154147,,0.7293308882509413,0.8561673242954722,
11,data/vh/reconstructions/Testing/GT/00005_test_gt_stack0018_0036_recon.tif,23.54930723343283,25.788661645110583,,0.7492118249778625,0.837793499200953,
12,data/vh/reconstructions/Testing/GT/00006_test_gt_stack0000_0018_recon.tif,27.192414998577974,26.991623739832562,,0.7650009230216415,0.8522982148622341,
13,data/vh/reconstructions/Testing/GT/00006_test_gt_stack0018_0036_recon.tif,31.62037493163092,30.835200329080315,,0.8351564067535886,0.8714848607796162,
14,data/vh/reconstructions/Testing/GT/00007_test_gt_stack0000_0018_recon.tif,31.158202516670666,32.645462525057695,,0.7700359823343206,0.8366831859947113,
15,data/vh/reconstructions/Testing/GT/00007_test_gt_stack0018_0036_recon.tif,32.65812742846806,32.948519806829815,,0.801436427002179,0.8935411751191649,
16,data/vh/reconstructions/Testing/GT/00008_test_gt_stack0000_0018_recon.tif,34.237791924960874,33.046119167243376,,0.8749945635087124,0.8563751655778776,
17,data/vh/reconstructions/Testing/GT/00008_test_gt_stack0018_0036_recon.tif,21.506969656131133,24.260133250331,,0.7300269387435391,0.824219341357065,
18,data/vh/reconstructions/Testing/GT/00009_test_gt_stack0000_0018_recon.tif,27.34305200791949,27.516079178015826,,0.7814004099559734,0.837472712153736,
19,data/vh/reconstructions/Testing/GT/00009_test_gt_stack0018_0036_recon.tif,21.078032062214174,23.34477067588139,,0.6793478180911092,0.8024744891835343,
20,data/vh/reconstructions/Testing/GT/00010_test_gt_stack0000_0018_recon.tif,23.25616915715848,26.797670484146074,,0.7848734432255865,0.8436236018702248,
21,data/vh/reconstructions/Testing/GT/00010_test_gt_stack0018_0036_recon.tif,19.96065273358559,21.392119466311627,,0.6115653060192274,0.7864772281768908,
22,data/vh/reconstructions/Testing/GT/00011_test_gt_stack0000_0018_recon.tif,19.6447632992788,19.72171376103979,,0.5185050526299233,0.6438638667127654,
23,data/vh/reconstructions/Testing/GT/00011_test_gt_stack0018_0036_recon.tif,35.2068557225316,34.34089386585238,,0.8864986569566937,0.8237631139790167,
24,data/vh/reconstructions/Testing/GT/00012_test_gt_stack0000_0018_recon.tif,30.25163703637005,33.04155620675156,,0.7434019167461616,0.8145585880690801,
25,data/vh/reconstructions/Testing/GT/00012_test_gt_stack0018_0036_recon.tif,20.83607022832661,22.665746114340752,,0.7154193836170506,0.8078201922502297,
26,data/vh/reconstructions/Testing/GT/00013_test_gt_stack0000_0018_recon.tif,34.84832711675471,32.97151451008392,,0.8745057343518803,0.843894643721596,
27,data/vh/reconstructions/Testing/GT/00013_test_gt_stack0018_0036_recon.tif,31.578025522929984,31.052366624968837,,0.7403373599462248,0.8523274442698433,
28,data/vh/reconstructions/Testing/GT/00014_test_gt_stack0000_0018_recon.tif,26.892414272601613,28.542162337829193,,0.8083515539690784,0.867190182277487,
29,data/vh/reconstructions/Testing/GT/00014_test_gt_stack0018_0036_recon.tif,29.161385209615858,29.093306969053828,,0.8326764180274046,0.859363370700875,
30,data/vh/reconstructions/Testing/GT/00015_test_gt_stack0000_0018_recon.tif,17.08499411849018,15.857165004340349,,0.5059846299470891,0.6555055813945023,
31,data/vh/reconstructions/Testing/GT/00015_test_gt_stack0018_0036_recon.tif,22.668221919435165,24.381045514894325,,0.7798708714884481,0.8216652064109462,
32,data/vh/reconstructions/Testing/GT/00016_test_gt_stack0000_0018_recon.tif,20.21624178860579,22.61425739323558,,0.6456824793624492,0.7844304617242255,
33,data/vh/reconstructions/Testing/GT/00016_test_gt_stack0018_0036_recon.tif,28.230636227276612,32.08403892406514,,0.6516069266747302,0.8077393143925224,
34,data/vh/reconstructions/Testing/GT/00017_test_gt_stack0000_0018_recon.tif,21.55828670304068,21.319067556347065,,0.6896089180185478,0.8069731491429131,
